Name,Description,Type,Default,Units
:math:`c_\text{DA}^{t}`,Day-ahead energy market price,:math:`\mathbb{R}`,,:math:`\mathrm{EUR}/\mathrm{MW}`
:math:`c_\text{FLEX}^{f}`,Primary frequency control market price,:math:`\mathbb{R}`,,:math:`\mathrm{EUR}/\mathrm{MW}`
:math:`nb_\text{HOUR}^{t}`,Number of hours for each time-step,:math:`\mathbb{R}^{+}`,,
:math:`V_\text{START}^{b}`,Basins stating water volume,:math:`\mathbb{R}^{+}`,,:math:`\mathrm{m}^{3}`
":math:`V_\text{MAX}^{b,~s}`",Basins water volume upper boundary for each state,:math:`\mathbb{R}^{+}`,0,:math:`\mathrm{m}^{3}`
":math:`V_\text{MIN}^{b,~s}`",Basins water volume lower boundary for each state,:math:`\mathbb{R}^{+}`,0,:math:`\mathrm{m}^{3}`
":math:`V_\text{DIS}^{t,~b}`",Water volume entering a basin due to runoff and snowmelt,:math:`\mathbb{R}^{+}`,0,:math:`\mathrm{m}^{3}`
":math:`F_\text{HYDRO}^{b,~h}`",Factor to specify whether the water flowing through a hydro power plant is added into a basin or removed,:math:`\{-1; ~0; ~1\}`,0,
":math:`Q_\text{MAX}^{h,~s}`",Max water that can flows through an  hydro power plant for each state,:math:`\mathbb{R}^{+}`,,:math:`\mathrm{m}^{3}/\mathrm{s}`
":math:`\alpha^{h,~s}`",Average factor for converting water flowing through a hydro power plant into power for each state (positive for turbines and negative for pumps).,:math:`\mathbb{R}`,,:math:`\mathrm{MW} \cdot  \mathrm{s}/ \mathrm{m}^{3}`
":math:`F_\text{dV +}^{h,~s}`",Factor multipling the overage water volume in the objective penalty (positive for turbine negative for pump),:math:`\mathbb{R}`,,:math:`\mathrm{EUR} / \mathrm{m}^{3}`
":math:`F_\text{dV -}^{h,~s}`",Factor multipling the shortage water volume in the objective penalty (positive for turbine negative for pump),:math:`\mathbb{R}`,,:math:`\mathrm{EUR} / \mathrm{m}^{3}`
:math:`V_\text{BUF +}^{h}`,Maximmum overage water volume flowing through an hydro power plant,:math:`\mathbb{R}^{+}`,,:math:`\mathrm{m}^{3}`
:math:`V_\text{BUF -}^{h}`,Maximmum shortage water volume flowing through an hydro power plant,:math:`\mathbb{R}^{+}`,,:math:`\mathrm{m}^{3}`
:math:`M`,Arbitrary big number for big_m decomposition ,:math:`\mathbb{R}^{+}`,1E6,
